2021-03-17 14:27:00.880 [http-nio-8201-exec-1] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [java.lang.NullPointerException]
2021-03-17 14:33:25.290 [http-nio-8201-exec-8] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [java.lang.NullPointerException]
2021-03-17 14:53:48.482 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'hospitalSetMapper' and 'cn.cq.yygh.hosp.mapper.HospitalSetMapper' mapperInterface. Bean already defined with the same name!
2021-03-17 14:55:18.014 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'hospitalSetMapper' and 'cn.cq.yygh.hosp.mapper.HospitalSetMapper' mapperInterface. Bean already defined with the same name!
2021-03-17 14:56:40.543 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[cn.cq.yygh.hosp]' package. Please check your configuration.
2021-03-17 14:56:40.574 [restartedMain] WARN  org.apache.tomcat.util.modeler.Registry - The MBean registry cannot be disabled because it has already been initialised
2021-03-17 14:58:48.145 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'hospitalSetMapper' and 'cn.cq.yygh.hosp.mapper.HospitalSetMapper' mapperInterface. Bean already defined with the same name!
2021-03-17 14:59:38.524 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'hospitalSetMapper' and 'cn.cq.yygh.hosp.mapper.HospitalSetMapper' mapperInterface. Bean already defined with the same name!
2021-03-17 14:59:38.525 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[cn.cq.yygh.hosp.mapper]' package. Please check your configuration.
2021-03-17 15:19:51.163 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'hospitalSetMapper' and 'cn.cq.yygh.hosp.mapper.HospitalSetMapper' mapperInterface. Bean already defined with the same name!
2021-03-17 15:19:51.163 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[cn.cq.yygh.hosp.mapper]' package. Please check your configuration.
2021-03-17 15:22:05.695 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'hospitalSetMapper' and 'cn.cq.yygh.hosp.mapper.HospitalSetMapper' mapperInterface. Bean already defined with the same name!
2021-03-17 15:22:05.695 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[cn.cq.yygh.hosp.mapper]' package. Please check your configuration.
2021-03-17 15:24:05.815 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'hospitalSetMapper' and 'cn.cq.yygh.hosp.mapper.HospitalSetMapper' mapperInterface. Bean already defined with the same name!
2021-03-17 15:24:05.816 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[cn.cq.yygh.hosp.mapper]' package. Please check your configuration.
2021-03-17 15:24:05.851 [restartedMain] WARN  org.apache.tomcat.util.modeler.Registry - The MBean registry cannot be disabled because it has already been initialised
2021-03-17 15:24:18.200 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'hospitalSetMapper' and 'cn.cq.yygh.hosp.mapper.HospitalSetMapper' mapperInterface. Bean already defined with the same name!
2021-03-17 15:24:18.201 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[cn.cq.yygh.hosp.mapper]' package. Please check your configuration.
2021-03-17 15:30:19.261 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'hospitalSetMapper' and 'cn.cq.yygh.hosp.mapper.HospitalSetMapper' mapperInterface. Bean already defined with the same name!
2021-03-17 15:30:19.261 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[cn.cq.yygh.hosp.mapper]' package. Please check your configuration.
2021-03-17 15:31:00.668 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'hospitalSetMapper' and 'cn.cq.yygh.hosp.mapper.HospitalSetMapper' mapperInterface. Bean already defined with the same name!
2021-03-17 15:31:00.669 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[cn.cq.yygh.hosp.mapper]' package. Please check your configuration.
2021-03-17 15:31:19.669 [http-nio-8201-exec-1] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [java.lang.NullPointerException]
